Z,A
52.0,126.0
52.0,128.0
52.0,130.0
52.0,132.0
52.0,134.0
52.0,136.0
53.0,127.0
54.0,116.0
54.0,118.0
54.0,120.0
54.0,122.0
54.0,124.0
54.0,126.0
54.0,128.0
54.0,129.0
54.0,130.0
54.0,131.0
54.0,132.0
54.0,133.0
54.0,134.0
54.0,136.0
54.0,137.0
54.0,138.0
54.0,139.0
54.0,140.0
54.0,141.0
54.0,142.0
54.0,143.0
54.0,144.0
54.0,146.0
55.0,118.0
55.0,119.0
55.0,120.0
55.0,121.0
55.0,122.0
55.0,123.0
55.0,124.0
55.0,125.0
55.0,126.0
55.0,127.0
55.0,128.0
55.0,129.0
55.0,130.0
55.0,131.0
55.0,132.0
55.0,133.0
55.0,134.0
55.0,135.0
55.0,136.0
55.0,137.0
55.0,138.0
55.0,139.0
55.0,140.0
55.0,141.0
55.0,142.0
55.0,143.0
55.0,144.0
55.0,145.0
55.0,146.0
56.0,120.0
56.0,121.0
56.0,122.0
56.0,123.0
56.0,124.0
56.0,125.0
56.0,126.0
56.0,127.0
56.0,128.0
56.0,129.0
56.0,130.0
56.0,131.0
56.0,132.0
56.0,133.0
56.0,134.0
56.0,135.0
56.0,136.0
56.0,137.0
56.0,138.0
56.0,139.0
56.0,140.0
56.0,141.0
56.0,142.0
56.0,143.0
56.0,144.0
56.0,145.0
56.0,146.0
56.0,148.0
57.0,137.0
57.0,138.0
57.0,139.0
58.0,136.0
58.0,138.0
58.0,140.0
58.0,142.0
58.0,144.0
58.0,146.0
58.0,148.0
59.0,141.0
60.0,132.0
60.0,134.0
60.0,135.0
60.0,136.0
60.0,137.0
60.0,138.0
60.0,139.0
60.0,140.0
60.0,141.0
60.0,142.0
60.0,143.0
60.0,144.0
60.0,145.0
60.0,146.0
60.0,148.0
60.0,150.0
62.0,138.0
62.0,139.0
62.0,140.0
62.0,141.0
62.0,142.0
62.0,143.0
62.0,144.0
62.0,145.0
62.0,146.0
62.0,147.0
62.0,148.0
62.0,149.0
62.0,150.0
62.0,151.0
62.0,152.0
62.0,153.0
62.0,154.0
63.0,137.0
63.0,138.0
63.0,139.0
63.0,140.0
63.0,141.0
63.0,142.0
63.0,143.0
63.0,144.0
63.0,145.0
63.0,146.0
63.0,147.0
63.0,148.0
63.0,149.0
63.0,150.0
63.0,151.0
63.0,152.0
63.0,153.0
63.0,154.0
63.0,155.0
63.0,156.0
63.0,157.0
63.0,158.0
63.0,159.0
64.0,145.0
64.0,146.0
64.0,148.0
64.0,150.0
64.0,152.0
64.0,154.0
64.0,155.0
64.0,156.0
64.0,157.0
64.0,158.0
64.0,160.0
65.0,147.0
65.0,148.0
65.0,149.0
65.0,150.0
65.0,151.0
65.0,152.0
65.0,153.0
65.0,154.0
65.0,155.0
65.0,157.0
65.0,159.0
66.0,146.0
66.0,148.0
66.0,149.0
66.0,150.0
66.0,151.0
66.0,152.0
66.0,153.0
66.0,154.0
66.0,155.0
66.0,156.0
66.0,157.0
66.0,158.0
66.0,159.0
66.0,160.0
66.0,161.0
66.0,162.0
66.0,163.0
66.0,164.0
67.0,151.0
67.0,152.0
67.0,153.0
67.0,154.0
67.0,155.0
67.0,156.0
67.0,157.0
67.0,158.0
67.0,159.0
67.0,160.0
67.0,161.0
67.0,162.0
67.0,163.0
67.0,165.0
68.0,150.0
68.0,152.0
68.0,154.0
68.0,156.0
68.0,158.0
68.0,160.0
68.0,162.0
68.0,164.0
68.0,166.0
68.0,167.0
68.0,168.0
68.0,170.0
69.0,153.0
69.0,154.0
69.0,156.0
69.0,157.0
69.0,158.0
69.0,159.0
69.0,160.0
69.0,161.0
69.0,162.0
69.0,163.0
69.0,164.0
69.0,165.0
69.0,166.0
69.0,167.0
69.0,168.0
69.0,169.0
69.0,170.0
69.0,171.0
69.0,172.0
70.0,152.0
70.0,154.0
70.0,155.0
70.0,156.0
70.0,157.0
70.0,158.0
70.0,159.0
70.0,160.0
70.0,161.0
70.0,162.0
70.0,163.0
70.0,164.0
70.0,165.0
70.0,166.0
70.0,167.0
70.0,168.0
70.0,169.0
70.0,170.0
70.0,171.0
70.0,172.0
70.0,173.0
70.0,174.0
70.0,175.0
70.0,176.0
71.0,161.0
71.0,162.0
71.0,163.0
71.0,164.0
71.0,165.0
71.0,166.0
71.0,167.0
71.0,168.0
71.0,169.0
71.0,170.0
71.0,171.0
71.0,172.0
71.0,173.0
71.0,174.0
71.0,175.0
71.0,176.0
71.0,177.0
71.0,178.0
71.0,179.0
72.0,170.0
72.0,172.0
72.0,173.0
72.0,174.0
72.0,175.0
72.0,176.0
72.0,177.0
72.0,178.0
72.0,179.0
72.0,180.0
72.0,182.0
73.0,181.0
74.0,180.0
74.0,182.0
74.0,183.0
74.0,184.0
74.0,186.0
75.0,185.0
75.0,187.0
76.0,184.0
76.0,186.0
76.0,187.0
76.0,188.0
76.0,189.0
76.0,190.0
76.0,192.0
77.0,182.0
77.0,183.0
77.0,184.0
77.0,185.0
77.0,186.0
77.0,187.0
77.0,188.0
77.0,189.0
77.0,191.0
77.0,193.0
78.0,178.0
78.0,179.0
78.0,180.0
78.0,181.0
78.0,182.0
78.0,183.0
78.0,184.0
78.0,185.0
78.0,186.0
78.0,187.0
78.0,188.0
78.0,189.0
78.0,190.0
78.0,191.0
78.0,192.0
78.0,193.0
78.0,194.0
78.0,195.0
78.0,196.0
78.0,198.0
79.0,183.0
79.0,184.0
79.0,185.0
79.0,186.0
79.0,187.0
79.0,188.0
79.0,189.0
79.0,190.0
79.0,191.0
79.0,192.0
79.0,193.0
79.0,194.0
79.0,195.0
79.0,196.0
79.0,197.0
79.0,198.0
79.0,199.0
80.0,181.0
80.0,182.0
80.0,183.0
80.0,184.0
80.0,185.0
80.0,186.0
80.0,187.0
80.0,188.0
80.0,189.0
80.0,190.0
80.0,191.0
80.0,192.0
80.0,193.0
80.0,194.0
80.0,195.0
80.0,196.0
80.0,197.0
80.0,198.0
80.0,199.0
80.0,200.0
80.0,201.0
80.0,202.0
80.0,203.0
80.0,204.0
80.0,205.0
80.0,206.0
81.0,190.0
81.0,191.0
81.0,192.0
81.0,193.0
81.0,194.0
81.0,195.0
81.0,196.0
81.0,197.0
81.0,198.0
81.0,199.0
81.0,200.0
81.0,201.0
81.0,202.0
81.0,203.0
81.0,204.0
81.0,205.0
81.0,207.0
81.0,208.0
82.0,182.0
82.0,183.0
82.0,184.0
82.0,185.0
82.0,186.0
82.0,187.0
82.0,188.0
82.0,189.0
82.0,190.0
82.0,191.0
82.0,192.0
82.0,193.0
82.0,194.0
82.0,195.0
82.0,196.0
82.0,197.0
82.0,198.0
82.0,199.0
82.0,200.0
82.0,201.0
82.0,202.0
82.0,203.0
82.0,204.0
82.0,205.0
82.0,206.0
82.0,207.0
82.0,208.0
82.0,209.0
82.0,210.0
82.0,211.0
82.0,212.0
82.0,214.0
83.0,209.0
84.0,200.0
84.0,202.0
84.0,204.0
84.0,205.0
84.0,206.0
84.0,207.0
84.0,208.0
84.0,209.0
84.0,210.0
86.0,202.0
86.0,204.0
86.0,205.0
86.0,206.0
86.0,207.0
86.0,208.0
86.0,209.0
86.0,210.0
86.0,211.0
86.0,212.0
86.0,218.0
86.0,219.0
86.0,220.0
86.0,221.0
86.0,222.0
87.0,207.0
87.0,208.0
87.0,209.0
87.0,210.0
87.0,211.0
87.0,212.0
87.0,213.0
87.0,220.0
87.0,221.0
87.0,222.0
87.0,223.0
87.0,224.0
87.0,225.0
87.0,226.0
87.0,227.0
87.0,228.0
88.0,208.0
88.0,209.0
88.0,210.0
88.0,211.0
88.0,212.0
88.0,213.0
88.0,214.0
88.0,220.0
88.0,221.0
88.0,222.0
88.0,223.0
88.0,224.0
88.0,225.0
88.0,226.0
88.0,227.0
88.0,228.0
88.0,229.0
88.0,230.0
88.0,232.0
90.0,227.0
90.0,228.0
90.0,229.0
90.0,230.0
90.0,232.0
92.0,233.0
92.0,234.0
92.0,235.0
92.0,236.0
92.0,238.0
94.0,238.0
94.0,239.0
94.0,240.0
94.0,241.0
94.0,242.0
94.0,244.0
95.0,241.0
95.0,243.0
96.0,242.0
96.0,244.0
96.0,245.0
96.0,246.0
96.0,248.0
